twb file name,object type,datasource name,table name,remote column name,local column name,worksheet name,dashboard name,property type,property name,property value,proposed value,conversion in TS,supported in TS,supported in Migrator,exec_error_details,exec_mode,exec_status,exec_start_time,exec_end_time,exec_id,output_file_type,output_file_name,last_ingested_date
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Region wise Sales and Profit,,encoding,text,sum:SALES:qk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Region wise Sales and Profit,,encoding,lod,none:STATE:nk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Region wise Sales and Profit,,encoding,size,sum:PROFIT:qk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,Region wise Sales and Profit,,encoding,color,sum:SALES:qk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,State wise Order placed,,axis,rows,Latitude (generated),,Use geo charts to represent the data.,partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,State wise Order placed,,axis,columns,Longitude (generated),,Use geo charts to represent the data.,partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,State wise Order placed,,datasource,name,SUPERSTORE_SALES,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart,SUPERSTORE_SALES,,,,State wise Order placed,,chart type,mark,multipolygon,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,State wise Order placed,,encoding,text,cnt:ORDERID:qk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,State wise Order placed,,encoding,lod,none:STATE:nk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,State wise Order placed,,encoding,color,cnt:ORDERID:qk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,State wise Order placed,,encoding,lod,none:REGION:nk,,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,State wise Order placed,,encoding,geometry,Geometry (generated),,Relevant charts can be created based on the Mark type,Partial,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,Filter_1,class,quantitative,,Use between,Full,Full,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,Filter_1,column,[federated.03ypia815nua1l1c3k5iy1pg60v9].[none:Calculation_834291888945041408:qk],,Use between,Full,Full,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,Filter_1,included_values,in-range,,Use between,Full,Full,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,Filter_1,function,between,,Use between,Full,Full,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,Filter_1,minimum,1.0,,Use between,Full,Full,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,chart property,SUPERSTORE_SALES,,,,City who made Profit,,Filter_1,maximum,27220.689999999999,,Use between,Full,Full,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard,,,,,,Product Analysis,,,,,,,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard,,,,,,Profit Analysis,,,,,,,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,,Product Analysis,filter_1,Dashboard filter,None,,,,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,,Profit Analysis,filter_2,Dashboard filter,City who made Profit,,,,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,,Product Analysis,style,layout,automatic,,,,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,,Profit Analysis,text,formatted-text,None,,,Full,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,,Product Analysis,text,formatted-text,None,,,Full,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,City who made Profit,Profit Analysis,zone-style,border_width,0,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,State wise Order placed,Product Analysis,zone-style,y_axis,54467,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,State wise Order placed,Product Analysis,zone-style,x_axis,125,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,State wise Order placed,Product Analysis,zone-style,width,45012,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,State wise Order placed,Product Analysis,zone-style,margin,,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,State wise Order placed,Product Analysis,zone-style,height,45037,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,State wise Order placed,Product Analysis,zone-style,border_width,,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,State wise Order placed,Product Analysis,zone-style,border_style,,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,State wise Order placed,Product Analysis,zone-style,border_color,,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Region wise Sales and Profit,Product Analysis,zone-style,y_axis,620,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Region wise Sales and Profit,Product Analysis,zone-style,x_axis,62,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Region wise Sales and Profit,Product Analysis,zone-style,width,44950,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Region wise Sales and Profit,Product Analysis,zone-style,margin,,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Region wise Sales and Profit,Product Analysis,zone-style,height,53474,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,Region wise Sales and Profit,Product Analysis,zone-style,border_width,,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,City who made Profit,Profit Analysis,zone-style,border_color,#000000,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,City who made Profit,Profit Analysis,zone-style,height,49000,,,Default,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
Profit And Product Analysis (2).twb,dashboard property,,,,,City who made Profit,Profit Analysis,zone-style,margin,4,,,NoSup,,,command_line,success,2025-12-18 19:58:01.102705,2025-12-18 19:58:05.605683,de87b6828e32d62dcb76adea84c56b64,,,2025-12-18 19:58:05.613624
